Eddy_Viscosity,Mach,Nu_Tilde,Pressure_Coefficient
0,0,0,0.0232197
0,0,0,0.0213071
0,0,0,0.0195016
0,0,0,0.0176419
0,0,0,0.0158023
0,0,0,0.0139833
0,0,0,0.0121568
0,0,0,0.0103364
0,0,0,0.00852067
0,0,0,0.00673712
0,0,0,0.00483095
0,0,0,0.00315332
0,0,0,0.0012399
0,0,0,-0.000531748
0,0,0,-0.00226617
0,0,0,-0.00417407
0,0,0,-0.00586875
0,0,0,-0.00766256
0,0,0,-0.00947484
0,0,0,-0.0111922
0,0,0,-0.0129648
0,0,0,-0.0147067
0,0,0,-0.0164325
0,0,0,-0.0181879
0,0,0,-0.0199035
0,0,0,-0.021608
0,0,0,-0.0233689
0,0,0,-0.0250499
0,0,0,-0.0267393
0,0,0,-0.0284993
0,0,0,-0.0301133
0,0,0,-0.0318866
0,0,0,-0.0335288
0,0,0,-0.0352187
0,0,0,-0.0369218
0,0,0,-0.03859
0,0,0,-0.0402481
0,0,0,-0.0419854
0,0,0,-0.0436233
0,0,0,-0.0452726
0,0,0,-0.047
0,0,0,-0.0486155
0,0,0,-0.0503008
0,0,0,-0.0519335
0,0,0,-0.0535845
0,0,0,-0.0552236
0,0,0,-0.0568597
0,0,0,-0.058491
0,0,0,-0.0600928
0,0,0,-0.061778
0,0,0,-0.0633217
0,0,0,-0.0649954
0,0,0,-0.0666334
0,0,0,-0.0681494
0,0,0,-0.0698617
0,0,0,-0.0713679
0,0,0,-0.073047
0,0,0,-0.0746161
0,0,0,-0.0761732
0,0,0,-0.0777919
0,0,0,-0.0793183
0,0,0,-0.0809171
0,0,0,-0.0825203
0,0,0,-0.0840592
0,0,0,-0.0856652
0,0,0,-0.0872463
0,0,0,-0.0887741
0,0,0,-0.0903832
0,0,0,-0.0919292
0,0,0,-0.0934894
0,0,0,-0.0950812
0,0,0,-0.0967015
0,0,0,-0.0981509
0,0,0,-0.0997997
0,0,0,-0.101356
0,0,0,-0.102868
0,0,0,-0.104418
0,0,0,-0.105998
0,0,0,-0.107496
0,0,0,-0.109042
0,0,0,-0.110566
0,0,0,-0.112069
0,0,0,-0.113658
0,0,0,-0.115142
0,0,0,-0.116683
0,0,0,-0.118222
0,0,0,-0.119728
0,0,0,-0.121262
0,0,0,-0.122771
0,0,0,-0.124281
0,0,0,-0.125834
0,0,0,-0.127335
0,0,0,-0.128827
0,0,0,-0.130336
0,0,0,-0.131862
0,0,0,-0.133344
0,0,0,-0.134827
0,0,0,-0.136324
0,0,0,-0.13783
0,0,0,-0.13931
0,0,0,-0.140759
0,0,0,-0.142323
0,0,0,-0.143755
0,0,0,-0.14525
0,0,0,-0.146729
0,0,0,-0.148247
0,0,0,-0.149703
0,0,0,-0.151274
0,0,0,-0.15274
0,0,0,-0.154223
0,0,0,-0.155743
0,0,0,-0.157198
0,0,0,-0.158706
0,0,0,-0.160185
0,0,0,-0.161664
0,0,0,-0.16321
0,0,0,-0.164654
0,0,0,-0.166171
0,0,0,-0.167666
0,0,0,-0.169143
0,0,0,-0.170624
0,0,0,-0.172094
0,0,0,-0.17359
0,0,0,-0.175056
0,0,0,-0.176538
0,0,0,-0.177992
0,0,0,-0.17946
0,0,0,-0.180928
0,0,0,-0.18237
0,0,0,-0.183906
0,0,0,-0.185317
0,0,0,-0.18678
0,0,0,-0.188307
0,0,0,-0.189723
0,0,0,-0.191222
0,0,0,-0.192675
0,0,0,-0.194148
0,0,0,-0.195632
0,0,0,-0.197104
0,0,0,-0.198573
0,0,0,-0.200021
0,0,0,-0.201562
0,0,0,-0.203005
0,0,0,-0.204491
0,0,0,-0.205947
0,0,0,-0.207466
0,0,0,-0.2089
0,0,0,-0.210383
0,0,0,-0.211845
0,0,0,-0.213267
0,0,0,-0.214803
0,0,0,-0.216201
0,0,0,-0.217673
0,0,0,-0.219177
0,0,0,-0.2206
0,0,0,-0.222085
0,0,0,-0.223519
0,0,0,-0.225042
0,0,0,-0.226475
0,0,0,-0.227926
0,0,0,-0.229493
0,0,0,-0.230895
0,0,0,-0.232427
0,0,0,-0.233884
0,0,0,-0.235353
0,0,0,-0.236869
0,0,0,-0.238377
0,0,0,-0.23982
0,0,0,-0.24141
0,0,0,-0.242852
0,0,0,-0.244342
0,0,0,-0.245858
0,0,0,-0.247309
0,0,0,-0.248817
0,0,0,-0.250282
0,0,0,-0.251774
0,0,0,-0.253223
0,0,0,-0.254768
0,0,0,-0.256207
0,0,0,-0.257719
0,0,0,-0.259176
0,0,0,-0.260641
0,0,0,-0.262193
0,0,0,-0.26362
0,0,0,-0.265123
0,0,0,-0.266599
0,0,0,-0.268065
0,0,0,-0.269569
0,0,0,-0.271032
0,0,0,-0.272532
0,0,0,-0.274079
0,0,0,-0.275533
0,0,0,-0.277043
0,0,0,-0.278562
0,0,0,-0.280046
0,0,0,-0.281547
0,0,0,-0.283106
0,0,0,-0.284588
0,0,0,-0.286095
0,0,0,-0.287619
0,0,0,-0.289127
0,0,0,-0.290651
0,0,0,-0.292133
0,0,0,-0.293633
0,0,0,-0.295195
0,0,0,-0.296674
0,0,0,-0.298212
0,0,0,-0.29971
0,0,0,-0.301202
0,0,0,-0.302728
0,0,0,-0.304277
0,0,0,-0.305776
0,0,0,-0.307303
0,0,0,-0.308849
0,0,0,-0.310361
0,0,0,-0.311956
0,0,0,-0.313471
0,0,0,-0.315038
0,0,0,-0.316549
0,0,0,-0.318087
0,0,0,-0.319696
0,0,0,-0.321204
0,0,0,-0.322756
0,0,0,-0.324298
0,0,0,-0.325894
0,0,0,-0.327389
0,0,0,-0.328936
0,0,0,-0.330499
0,0,0,-0.33199
0,0,0,-0.333628
0,0,0,-0.335065
0,0,0,-0.336622
0,0,0,-0.338239
0,0,0,-0.339715
0,0,0,-0.341284
0,0,0,-0.342822
0,0,0,-0.344361
0,0,0,-0.345931
0,0,0,-0.347514
0,0,0,-0.349102
0,0,0,-0.350678
0,0,0,-0.352286
0,0,0,-0.353928
0,0,0,-0.355492
0,0,0,-0.357104
0,0,0,-0.358674
0,0,0,-0.36026
0,0,0,-0.361883
0,0,0,-0.363366
0,0,0,-0.365041
0,0,0,-0.366559
0,0,0,-0.368203
0,0,0,-0.36972
0,0,0,-0.371305
0,0,0,-0.372954
0,0,0,-0.37445
0,0,0,-0.376078
0,0,0,-0.377615
0,0,0,-0.379216
0,0,0,-0.380868
0,0,0,-0.382406
0,0,0,-0.384058
0,0,0,-0.385739
0,0,0,-0.387297
0,0,0,-0.388965
0,0,0,-0.390564
0,0,0,-0.392203
0,0,0,-0.393901
0,0,0,-0.39551
0,0,0,-0.397162
0,0,0,-0.398765
0,0,0,-0.400384
0,0,0,-0.40208
0,0,0,-0.403645
0,0,0,-0.405305
0,0,0,-0.406889
0,0,0,-0.408532
0,0,0,-0.410223
0,0,0,-0.411805
0,0,0,-0.41343
0,0,0,-0.415019
0,0,0,-0.416633
0,0,0,-0.418313
0,0,0,-0.419887
0,0,0,-0.421543
0,0,0,-0.423138
0,0,0,-0.42476
0,0,0,-0.426448
0,0,0,-0.428016
0,0,0,-0.429645
0,0,0,-0.431282
0,0,0,-0.432963
0,0,0,-0.43455
0,0,0,-0.436214
0,0,0,-0.437905
0,0,0,-0.439485
0,0,0,-0.441169
0,0,0,-0.442782
0,0,0,-0.444411
0,0,0,-0.446064
0,0,0,-0.447703
0,0,0,-0.449367
0,0,0,-0.451039
0,0,0,-0.452681
0,0,0,-0.454325
0,0,0,-0.456004
0,0,0,-0.457726
0,0,0,-0.459333
0,0,0,-0.461052
0,0,0,-0.462743
0,0,0,-0.464368
0,0,0,-0.466108
0,0,0,-0.467696
0,0,0,-0.469362
0,0,0,-0.471021
0,0,0,-0.472655
0,0,0,-0.474307
0,0,0,-0.47593
0,0,0,-0.477559
0,0,0,-0.479148
0,0,0,-0.480789
0,0,0,-0.482449
0,0,0,-0.484034
0,0,0,-0.485671
0,0,0,-0.48727
0,0,0,-0.488833
0,0,0,-0.490472
0,0,0,-0.492108
0,0,0,-0.493684
0,0,0,-0.495296
0,0,0,-0.496901
0,0,0,-0.498514
0,0,0,-0.500133
0,0,0,-0.501704
0,0,0,-0.503334
0,0,0,-0.504979
0,0,0,-0.506541
0,0,0,-0.508128
0,0,0,-0.509709
0,0,0,-0.511303
0,0,0,-0.512839
0,0,0,-0.514372
0,0,0,-0.515922
0,0,0,-0.517439
0,0,0,-0.518959
0,0,0,-0.52051
0,0,0,-0.521977
0,0,0,-0.523446
0,0,0,-0.524963
0,0,0,-0.526446
0,0,0,-0.527877
0,0,0,-0.52937
0,0,0,-0.530851
0,0,0,-0.532251
0,0,0,-0.533734
0,0,0,-0.53518
0,0,0,-0.536579
0,0,0,-0.538003
0,0,0,-0.539389
0,0,0,-0.540746
0,0,0,-0.54211
0,0,0,-0.543468
0,0,0,-0.54484
0,0,0,-0.546108
0,0,0,-0.54741
0,0,0,-0.548678
0,0,0,-0.549967
0,0,0,-0.551183
0,0,0,-0.552413
0,0,0,-0.553604
0,0,0,-0.554753
0,0,0,-0.555944
0,0,0,-0.557113
0,0,0,-0.558224
0,0,0,-0.559346
0,0,0,-0.560439
0,0,0,-0.561519
0,0,0,-0.5626
0,0,0,-0.563636
0,0,0,-0.564672
0,0,0,-0.565646
0,0,0,-0.566684
0,0,0,-0.567648
0,0,0,-0.568614
0,0,0,-0.569574
0,0,0,-0.570516
0,0,0,-0.571427
0,0,0,-0.572321
0,0,0,-0.573212
0,0,0,-0.574089
0,0,0,-0.574964
0,0,0,-0.57582
0,0,0,-0.576716
0,0,0,-0.577549
0,0,0,-0.578424
0,0,0,-0.57928
0,0,0,-0.580145
0,0,0,-0.581031
0,0,0,-0.581933
0,0,0,-0.582847
0,0,0,-0.583786
0,0,0,-0.584769
0,0,0,-0.585778
0,0,0,-0.586866
0,0,0,-0.588001
0,0,0,-0.589233
0,0,0,-0.590534
0,0,0,-0.591951
0,0,0,-0.593456
0,0,0,-0.59512
0,0,0,-0.596921
0,0,0,-0.598889
0,0,0,-0.601047
0,0,0,-0.603433
0,0,0,-0.606054
0,0,0,-0.608949
0,0,0,-0.612114
0,0,0,-0.615618
0,0,0,-0.619507
0,0,0,-0.623812
0,0,0,-0.628565
0,0,0,-0.633852
0,0,0,-0.639711
0,0,0,-0.646201
0,0,0,-0.653445
0,0,0,-0.661525
0,0,0,-0.670512
0,0,0,-0.68054
0,0,0,-0.691741
0,0,0,-0.704339
0,0,0,-0.718545
0,0,0,-0.734745
0,0,0,-0.753194
0,0,0,-0.7744
0,0,0,-0.799432
0,0,0,-0.830876
0,0,0,-0.87183
0,0,0,-0.922318
0,0,0,-0.979426
0,0,0,-1.03994
0,0,0,-1.10181
0,0,0,-1.16199
0,0,0,-1.21638
0,0,0,-1.26121
0,0,0,-1.29474
0,0,0,-1.31772
0,0,0,-1.33227
0,0,0,-1.34091
0,0,0,-1.34579
