Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
280,0.714108,0,2.20684,-822.809,1.20169e-07,0,0,0,0,0,0,0.098506,0.0380307,0,0.105592,0.882738,-0.466667,0.00471718,0.000842876,0,0.00479189,1.10758,1.72107
281,0.71492,0,2.2094,-824.505,1.2017e-07,0,0,0,0,0,0,0.097389,0.0378304,0,0.104479,0.883759,-0.464625,0.00472116,0.00084978,0,0.00479702,1.1076,1.72295
282,0.715732,0,2.21195,-826.268,1.20172e-07,0,0,0,0,0,0,0.096278,0.0376296,0,0.10337,0.884779,-0.462586,0.00472524,0.000856773,0,0.00480229,1.10762,1.72485
283,0.716546,0,2.2145,-828.07,1.20174e-07,0,0,0,0,0,0,0.0951729,0.0374285,0,0.102268,0.885802,-0.460539,0.00472938,0.000863851,0,0.00480763,1.10764,1.72677
284,0.717362,0,2.21707,-829.88,1.20175e-07,0,0,0,0,0,0,0.0940735,0.037227,0,0.101171,0.886827,-0.458488,0.00473354,0.000871004,0,0.00481301,1.10767,1.72869
285,0.71818,0,2.21964,-831.712,1.20177e-07,0,0,0,0,0,0,0.0929798,0.037025,0,0.10008,0.887855,-0.456433,0.00473773,0.000878233,0,0.00481844,1.10769,1.73063
286,0.719,0,2.22221,-833.585,1.20179e-07,0,0,0,0,0,0,0.0918918,0.0368225,0,0.098995,0.888885,-0.454374,0.00474196,0.000885541,0,0.00482394,1.10771,1.73258
287,0.719824,0,2.2248,-835.5,1.2018e-07,0,0,0,0,0,0,0.0908094,0.0366197,0,0.097915,0.889921,-0.452302,0.00474623,0.000892928,0,0.0048295,1.10773,1.73455
288,0.720657,0,2.22742,-837.397,1.20182e-07,0,0,0,0,0,0,0.0897326,0.0364163,0,0.0968405,0.890966,-0.45021,0.00475047,0.000900377,0,0.00483504,1.10775,1.73652
289,0.721496,0,2.23005,-839.222,1.20184e-07,0,0,0,0,0,0,0.0886613,0.0362125,0,0.0957715,0.892021,-0.448102,0.00475458,0.000907871,0,0.00484048,1.10777,1.73848
290,0.722335,0,2.23269,-840.964,1.20186e-07,0,0,0,0,0,0,0.0875954,0.0360082,0,0.0947077,0.893075,-0.445993,0.00475852,0.000915401,0,0.00484577,1.10779,1.74042
291,0.723171,0,2.23531,-842.762,1.20187e-07,0,0,0,0,0,0,0.0865349,0.0358035,0,0.0936493,0.894124,-0.443894,0.00476258,0.000923021,0,0.0048512,1.10781,1.74238
292,0.724002,0,2.23792,-844.692,1.20189e-07,0,0,0,0,0,0,0.0854798,0.0355982,0,0.0925961,0.895168,-0.441807,0.00476689,0.000930757,0,0.00485691,1.10783,1.74438
293,0.724834,0,2.24053,-846.704,1.2019e-07,0,0,0,0,0,0,0.08443,0.0353925,0,0.0915481,0.896212,-0.439719,0.00477132,0.000938585,0,0.00486276,1.10785,1.74641
294,0.725668,0,2.24315,-848.766,1.20192e-07,0,0,0,0,0,0,0.0833853,0.0351862,0,0.0905052,0.897259,-0.437625,0.00477584,0.000946516,0,0.00486873,1.10787,1.74846
295,0.726507,0,2.24578,-850.852,1.20193e-07,0,0,0,0,0,0,0.0823459,0.0349794,0,0.0894674,0.898311,-0.43552,0.00478042,0.00095456,0,0.00487479,1.10789,1.75054
296,0.727347,0,2.24841,-852.963,1.20195e-07,0,0,0,0,0,0,0.0813116,0.0347721,0,0.0884346,0.899365,-0.433413,0.00478503,0.000962718,0,0.00488091,1.1079,1.75263
297,0.728189,0,2.25106,-855.151,1.20197e-07,0,0,0,0,0,0,0.0802823,0.0345643,0,0.0874068,0.900422,-0.431299,0.00478974,0.000971004,0,0.00488717,1.10792,1.75474
298,0.729038,0,2.25372,-857.41,1.20198e-07,0,0,0,0,0,0,0.0792581,0.0343558,0,0.0863839,0.901487,-0.429169,0.00479454,0.000979414,0,0.00489355,1.10794,1.75689
299,0.729899,0,2.25642,-859.676,1.202e-07,0,0,0,0,0,0,0.0782389,0.0341468,0,0.0853658,0.902566,-0.42701,0.00479935,0.000987932,0,0.00489997,1.10796,1.75906
300,0.730768,0,2.25914,-861.886,1.20201e-07,0,0,0,0,0,0,0.0772245,0.0339372,0,0.0843526,0.903657,-0.424829,0.00480406,0.000996535,0,0.00490633,1.10798,1.76122
301,0.731642,0,2.26188,-864.077,1.20203e-07,0,0,0,0,0,0,0.0762151,0.033727,0,0.0833442,0.904753,-0.422637,0.00480871,0.00100523,0,0.00491265,1.108,1.76339
302,0.732519,0,2.26463,-866.32,1.20204e-07,0,0,0,0,0,0,0.0752104,0.0335162,0,0.0823404,0.905853,-0.420436,0.00481338,0.00101403,0,0.00491903,1.10802,1.76557
303,0.733405,0,2.26741,-868.624,1.20206e-07,0,0,0,0,0,0,0.0742106,0.0333047,0,0.0813413,0.906965,-0.418213,0.0048181,0.00102295,0,0.0049255,1.10804,1.76777
304,0.734304,0,2.27023,-870.882,1.20208e-07,0,0,0,0,0,0,0.0732154,0.0330926,0,0.0803469,0.908092,-0.415958,0.00482274,0.00103194,0,0.00493191,1.10806,1.76998
305,0.735212,0,2.27308,-872.995,1.20209e-07,0,0,0,0,0,0,0.0722249,0.0328798,0,0.0793569,0.909231,-0.41368,0.00482715,0.00104099,0,0.00493812,1.10808,1.77217
306,0.736117,0,2.27592,-875.053,1.20211e-07,0,0,0,0,0,0,0.0712391,0.0326664,0,0.0783715,0.910366,-0.411411,0.00483147,0.00105013,0,0.00494428,1.1081,1.77434
307,0.737015,0,2.27873,-877.31,1.20212e-07,0,0,0,0,0,0,0.0702578,0.0324523,0,0.0773906,0.911491,-0.40916,0.00483616,0.00105947,0,0.00495085,1.10811,1.77658
308,0.737911,0,2.28153,-879.79,1.20214e-07,0,0,0,0,0,0,0.069281,0.0322375,0,0.0764141,0.912614,-0.406915,0.00484117,0.00106903,0,0.0049578,1.10813,1.77888
309,0.738814,0,2.28437,-882.439,1.20215e-07,0,0,0,0,0,0,0.0683087,0.0320219,0,0.0754419,0.913746,-0.40465,0.00484642,0.0010788,0,0.00496504,1.10815,1.78125
310,0.739735,0,2.28725,-885.142,1.20217e-07,0,0,0,0,0,0,0.0673408,0.0318056,0,0.074474,0.914899,-0.402344,0.00485173,0.00108873,0,0.00497239,1.10817,1.78366
311,0.740675,0,2.29019,-887.78,1.20218e-07,0,0,0,0,0,0,0.0663773,0.0315885,0,0.0735104,0.916078,-0.399987,0.00485692,0.0010988,0,0.00497967,1.10819,1.78607
312,0.74163,0,2.29319,-890.294,1.2022e-07,0,0,0,0,0,0,0.0654182,0.0313706,0,0.0725511,0.917275,-0.397593,0.00486188,0.00110897,0,0.00498675,1.10821,1.78847
313,0.742595,0,2.29621,-892.762,1.20221e-07,0,0,0,0,0,0,0.0644634,0.0311519,0,0.0715959,0.918485,-0.395173,0.00486669,0.00111925,0,0.00499374,1.10822,1.79086
314,0.743567,0,2.29926,-895.265,1.20223e-07,0,0,0,0,0,0,0.0635128,0.0309324,0,0.0706448,0.919704,-0.392736,0.00487146,0.00112968,0,0.00500073,1.10824,1.79327
315,0.744553,0,2.30235,-897.832,1.20225e-07,0,0,0,0,0,0,0.0625664,0.030712,0,0.0696978,0.92094,-0.390264,0.00487625,0.00114026,0,0.0050078,1.10826,1.7957
316,0.745556,0,2.30549,-900.355,1.20226e-07,0,0,0,0,0,0,0.0616241,0.0304908,0,0.0687548,0.922196,-0.38775,0.00488092,0.00115097,0,0.00501479,1.10828,1.79814
317,0.746575,0,2.30869,-902.737,1.20228e-07,0,0,0,0,0,0,0.060686,0.0302686,0,0.0678158,0.923475,-0.385193,0.00488535,0.00116176,0,0.00502159,1.10831,1.80056
318,0.747601,0,2.3119,-904.942,1.2023e-07,0,0,0,0,0,0,0.0597519,0.0300455,0,0.0668807,0.92476,-0.382622,0.00488945,0.00117263,0,0.0050281,1.10833,1.80294
319,0.748623,0,2.3151,-907.172,1.20231e-07,0,0,0,0,0,0,0.0588219,0.0298215,0,0.0659495,0.926041,-0.38006,0.00489357,0.00118366,0,0.00503469,1.10835,1.80533
320,0.749639,0,2.31829,-909.64,1.20233e-07,0,0,0,0,0,0,0.0578958,0.0295966,0,0.0650222,0.927314,-0.377514,0.00489808,0.00119497,0,0.00504174,1.10836,1.80779
321,0.75066,0,2.32148,-912.317,1.20234e-07,0,0,0,0,0,0,0.0569737,0.0293706,0,0.0640987,0.928592,-0.374959,0.00490283,0.00120658,0,0.00504912,1.10838,1.81032
322,0.751691,0,2.32471,-915.118,1.20236e-07,0,0,0,0,0,0,0.0560555,0.0291437,0,0.0631789,0.929883,-0.372376,0.00490774,0.00121845,0,0.00505673,1.1084,1.81291
323,0.75274,0,2.32799,-917.942,1.20237e-07,0,0,0,0,0,0,0.0551412,0.0289157,0,0.0622629,0.931197,-0.369749,0.00491266,0.00123055,0,0.00506443,1.10842,1.81553
324,0.753805,0,2.33133,-920.699,1.20239e-07,0,0,0,0,0,0,0.0542306,0.0286866,0,0.0613505,0.932531,-0.367082,0.00491741,0.00124284,0,0.00507204,1.10844,1.81816
325,0.754885,0,2.33471,-923.398,1.20241e-07,0,0,0,0,0,0,0.0533239,0.0284564,0,0.0604417,0.933883,-0.364377,0.004922,0.00125532,0,0.00507956,1.10846,1.82078
326,0.755975,0,2.33812,-926.069,1.20242e-07,0,0,0,0,0,0,0.0524209,0.028225,0,0.0595365,0.935248,-0.361647,0.00492644,0.00126798,0,0.005087,1.10848,1.82341
327,0.757078,0,2.34157,-928.743,1.20244e-07,0,0,0,0,0,0,0.0515216,0.0279925,0,0.0586349,0.936629,-0.358885,0.00493079,0.00128085,0,0.00509443,1.1085,1.82604
328,0.758194,0,2.34507,-931.347,1.20245e-07,0,0,0,0,0,0,0.0506259,0.0277588,0,0.0577368,0.938026,-0.356091,0.00493495,0.00129389,0,0.00510175,1.10852,1.82868
329,0.759321,0,2.34859,-933.792,1.20247e-07,0,0,0,0,0,0,0.0497339,0.0275238,0,0.0568421,0.939437,-0.353269,0.00493882,0.00130707,0,0.00510885,1.10854,1.83128
330,0.760447,0,2.35211,-936.046,1.20248e-07,0,0,0,0,0,0,0.0488455,0.0272876,0,0.0559508,0.940845,-0.350453,0.00494235,0.00132038,0,0.00511568,1.10855,1.83384
331,0.761558,0,2.35558,-938.49,1.2025e-07,0,0,0,0,0,0,0.0479607,0.02705,0,0.055063,0.942234,-0.347676,0.0049463,0.00133405,0,0.00512304,1.10857,1.83648
332,0.762652,0,2.359,-941.428,1.20251e-07,0,0,0,0,0,0,0.0470793,0.0268112,0,0.0541785,0.943599,-0.344944,0.00495113,0.00134826,0,0.00513143,1.10859,1.83929
333,0.763744,0,2.3624,-944.763,1.20252e-07,0,0,0,0,0,0,0.0462015,0.026571,0,0.0532972,0.944962,-0.342219,0.00495648,0.00136301,0,0.00514048,1.1086,1.84221
334,0.764847,0,2.36584,-948.393,1.20253e-07,0,0,0,0,0,0,0.0453271,0.0263293,0,0.0524193,0.946338,-0.339467,0.0049622,0.00137827,0,0.00515006,1.10861,1.84524
335,0.765975,0,2.36936,-952.191,1.20254e-07,0,0,0,0,0,0,0.0444561,0.0260862,0,0.0515445,0.947744,-0.336655,0.00496811,0.00139398,0,0.00515997,1.10862,1.84836
336,0.767131,0,2.37297,-956.001,1.20255e-07,0,0,0,0,0,0,0.0435885,0.0258415,0,0.0506729,0.949187,-0.333769,0.00497393,0.00141008,0,0.00516994,1.10864,1.85152
337,0.768321,0,2.37668,-959.738,1.20256e-07,0,0,0,0,0,0,0.0427244,0.0255953,0,0.0498045,0.95067,-0.330802,0.00497949,0.00142651,0,0.00517979,1.10865,1.8547
338,0.76954,0,2.38048,-963.315,1.20258e-07,0,0,0,0,0,0,0.0418635,0.0253474,0,0.0489392,0.952192,-0.327759,0.00498465,0.00144323,0,0.00518938,1.10867,1.85787
339,0.770788,0,2.38437,-966.685,1.20259e-07,0,0,0,0,0,0,0.041006,0.0250977,0,0.0480769,0.953749,-0.324644,0.00498937,0.00146022,0,0.00519866,1.10868,1.86102
340,0.772055,0,2.38832,-969.774,1.2026e-07,0,0,0,0,0,0,0.0401517,0.0248464,0,0.0472176,0.955329,-0.321484,0.00499354,0.00147745,0,0.00520752,1.1087,1.86412
341,0.773328,0,2.39229,-972.588,1.20261e-07,0,0,0,0,0,0,0.0393008,0.0245932,0,0.0463614,0.956916,-0.318311,0.00499718,0.00149493,0,0.005216,1.10871,1.86716
342,0.774585,0,2.3962,-975.591,1.20262e-07,0,0,0,0,0,0,0.038453,0.0243382,0,0.0455081,0.95848,-0.315182,0.00500124,0.00151293,0,0.00522507,1.10872,1.87028
343,0.77582,0,2.40004,-979.29,1.20263e-07,0,0,0,0,0,0,0.0376085,0.0240813,0,0.0446577,0.960017,-0.31211,0.00500649,0.0015318,0,0.00523559,1.10873,1.87365
344,0.777053,0,2.40387,-983.672,1.20263e-07,0,0,0,0,0,0,0.0367672,0.0238224,0,0.0438102,0.961547,-0.309049,0.00501262,0.00155163,0,0.00524728,1.10874,1.87722
345,0.778309,0,2.40777,-988.643,1.20264e-07,0,0,0,0,0,0,0.0359291,0.0235614,0,0.0429656,0.963107,-0.30593,0.00501948,0.00157249,0,0.00526003,1.10874,1.88101
346,0.779606,0,2.41179,-993.971,1.20264e-07,0,0,0,0,0,0,0.0350942,0.0232983,0,0.0421237,0.964717,-0.302709,0.00502672,0.00159427,0,0.00527348,1.10875,1.88498
347,0.780961,0,2.416,-999.481,1.20265e-07,0,0,0,0,0,0,0.0342624,0.0230328,0,0.0412847,0.9664,-0.299343,0.00503402,0.00161688,0,0.00528731,1.10875,1.88908
348,0.782382,0,2.42041,-1004.99,1.20265e-07,0,0,0,0,0,0,0.0334338,0.022765,0,0.0404483,0.968166,-0.295812,0.00504104,0.00164022,0,0.00530117,1.10876,1.89326
349,0.783877,0,2.42506,-1010.37,1.20266e-07,0,0,0,0,0,0,0.0326084,0.0224947,0,0.0396146,0.970026,-0.292092,0.00504753,0.0016642,0,0.00531481,1.10877,1.89749
350,0.785448,0,2.42995,-1015.43,1.20267e-07,0,0,0,0,0,0,0.0317862,0.0222218,0,0.0387836,0.97198,-0.288183,0.00505325,0.00168874,0,0.00532797,1.10879,1.90172
351,0.78709,0,2.43506,-1020.07,1.20269e-07,0,0,0,0,0,0,0.0309671,0.0219462,0,0.0379552,0.974024,-0.284095,0.00505811,0.00171381,0,0.00534056,1.1088,1.90594
352,0.788782,0,2.44033,-1024.34,1.2027e-07,0,0,0,0,0,0,0.0301512,0.0216678,0,0.0371294,0.976131,-0.279881,0.00506221,0.00173943,0,0.00535271,1.10881,1.91014
353,0.790499,0,2.44567,-1028.69,1.20271e-07,0,0,0,0,0,0,0.0293385,0.0213866,0,0.0363061,0.978268,-0.275606,0.00506612,0.00176582,0,0.00536504,1.10883,1.9144
354,0.792243,0,2.45109,-1033.73,1.20272e-07,0,0,0,0,0,0,0.0285289,0.0211023,0,0.0354853,0.980438,-0.271267,0.00507059,0.00179348,0,0.00537843,1.10884,1.91888
355,0.794053,0,2.45673,-1039.69,1.20273e-07,0,0,0,0,0,0,0.0277226,0.020815,0,0.0346671,0.982691,-0.26676,0.00507591,0.00182277,0,0.00539326,1.10886,1.9237
356,0.795964,0,2.46268,-1046.16,1.20275e-07,0,0,0,0,0,0,0.0269195,0.0205244,0,0.0338513,0.985071,-0.262001,0.00508144,0.00185357,0,0.00540895,1.10887,1.9288
357,0.798004,0,2.46903,-1052.69,1.20276e-07,0,0,0,0,0,0,0.0261196,0.0202303,0,0.0330378,0.987614,-0.256916,0.00508648,0.00188563,0,0.00542475,1.10889,1.93406
358,0.800187,0,2.47584,-1058.92,1.20278e-07,0,0,0,0,0,0,0.0253231,0.0199326,0,0.0322268,0.990338,-0.251467,0.00509035,0.00191871,0,0.00543996,1.10892,1.93938
359,0.802526,0,2.48315,-1064.51,1.20281e-07,0,0,0,0,0,0,0.0245299,0.0196311,0,0.031418,0.99326,-0.245623,0.00509253,0.00195259,0,0.00545403,1.10895,1.94468
360,0.80502,0,2.49094,-1069.03,1.20284e-07,0,0,0,0,0,0,0.0237401,0.0193256,0,0.0306116,0.996377,-0.239389,0.00509251,0.00198706,0,0.00546645,1.10898,1.94987
361,0.80765,0,2.49917,-1072.3,1.20287e-07,0,0,0,0,0,0,0.0229537,0.019016,0,0.0298074,0.999667,-0.232809,0.00509019,0.00202205,0,0.00547711,1.10902,1.95491
362,0.810358,0,2.50763,-1074.74,1.2029e-07,0,0,0,0,0,0,0.0221708,0.0187022,0,0.0290054,1.00305,-0.226037,0.00508622,0.00205779,0,0.00548673,1.10906,1.95985
