"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          36,      -4.974035796,      -4.819716185,      -5.030365929,       -4.23685893,      -10.96583621,     0.03127129721,      0.6746358929,                 0,                 0,                 0,      0.0953353463,    0.004053886798,       0.675348094,                 0,        21.5736459,    0.002251977258
          37,      -4.987710366,      -4.852507681,      -5.074699152,      -4.253910665,      -10.95836209,     0.02844142278,      0.6769282375,                 0,                 0,                 0,     0.09671100688,    0.001133916325,      0.6775245143,                 0,       23.80078672,    0.002251977258
          38,      -4.998453401,      -4.869711477,      -5.104584491,      -4.264778681,      -10.94828437,     0.02584559848,      0.6797488205,                 0,                 0,                 0,      0.0978812769,   -0.001573485483,      0.6802381775,                 0,       26.30037068,    0.002251977258
          39,      -5.009459796,       -4.87361927,      -5.124790789,      -4.273804777,      -10.93504739,      0.0235288933,      0.6829380772,                 0,                 0,                 0,     0.09879979484,   -0.004016854823,       0.683331465,                 0,       29.02550786,    0.003053070684
          40,      -5.022901741,       -4.87032201,      -5.142849766,      -4.284423419,      -10.91871509,     0.02152744242,      0.6863311479,                 0,                 0,                 0,      0.0994284255,   -0.006153441002,      0.6866411075,                 0,       31.88168545,    0.003053070684
          41,      -5.038928751,      -4.865730125,       -5.16227069,      -4.297738082,      -10.89979399,     0.01988555976,      0.6897130064,                 0,                 0,                 0,     0.09972438406,   -0.007930299237,      0.6899540398,                 0,       34.68411323,    0.003053070684
          42,      -5.056360711,      -4.863796445,      -5.183235791,      -4.313226173,      -10.87849823,     0.01864425411,      0.6928879262,                 0,                 0,                 0,     0.09968855772,   -0.009298565076,      0.6930763473,                 0,       37.16361738,    0.003053070684
          43,      -5.073799408,      -4.866700641,      -5.205418057,      -4.329881349,      -10.85406209,     0.01780166582,      0.6957929978,                 0,                 0,                 0,     0.09939443017,    -0.01025756101,      0.6959450967,                 0,       39.08583639,    0.003053070684
          44,      -5.090019487,      -4.875472226,      -5.229212126,      -4.346500573,      -10.82549297,     0.01731269268,      0.6984458733,                 0,                 0,                 0,     0.09893177098,    -0.01085306409,      0.6985761077,                 0,       40.34299494,    0.003053070684
          45,      -5.105424992,       -4.89034438,      -5.254419115,      -4.363032118,      -10.79335929,     0.01711887564,      0.7008529979,                 0,                 0,                 0,     0.09836366256,    -0.01114374564,      0.7009734642,                 0,       40.94036388,    0.003053070684
