"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "Cauchy[CL]"   
          0,           0,         430,      -5.384871894,      -5.591631139,      -5.938828764,      -4.716718733,      -7.900537897,      -2.102456752,     0.03774188158,      0.3545606914,                 0,                 0,                 0,     0.02782353561,     0.02373070275,      0.3557732245,                 0,       9.394356524,      0.2356272115,    0.004360403016
          0,           0,         440,      -5.401337152,      -5.603562464,       -5.94593894,      -4.733651432,      -7.826942998,      -2.155322838,     0.03951105869,      0.3738773519,                 0,                 0,                 0,     0.03805038671,     0.02473676644,      0.3751446259,                 0,       9.462600199,      0.2533157201,    0.004618547164
          0,           0,         450,      -5.435027394,      -5.629452064,      -5.971164924,      -4.767726641,      -7.753431833,      -2.220974241,     0.04131313904,      0.3901721336,                 0,                 0,                 0,     0.04698508339,     0.02589487317,      0.3914977967,                 0,       9.444262592,      0.2764468468,    0.004966262503
          0,           0,         460,      -5.580120942,      -5.716602904,      -6.110780128,      -4.911592671,      -7.712132036,      -2.211229133,     0.04278324396,      0.3989685619,                 0,                 0,                 0,     0.05185859589,     0.02701695436,      0.4003453553,                 0,        9.32534621,      0.3009386281,    0.005013589613
          0,           0,         470,       -5.96136904,      -5.792010008,      -6.223048382,      -5.292557593,      -7.709325607,      -2.002818358,     0.04352123561,       0.395035792,                 0,                 0,                 0,     0.04975530682,     0.02790945766,      0.3964447466,                 0,       9.076851484,      0.3281517183,    0.004763954984
          0,           0,         480,      -5.607792757,       -5.76215239,      -5.918755606,      -4.952048697,      -7.811792607,      -1.887761516,     0.04299133331,      0.3745075739,                 0,                 0,                 0,     0.03890728804,     0.02818948168,      0.3759115997,                 0,        8.71123422,      0.3703320081,    0.004816832512
          0,           0,         490,      -5.331851282,      -5.704481656,      -5.728925978,      -4.676727415,      -8.066025412,       -1.84029556,     0.04135197871,      0.3433993562,                 0,                 0,                 0,     0.02353230288,     0.02777813031,      0.3447629323,                 0,       8.304302889,      0.4111516434,     0.00512686876
          0,           0,         500,      -5.241843072,      -5.702531965,      -5.675789398,      -4.588683314,      -8.183145219,      -1.848434313,     0.03919969192,      0.3113380952,                 0,                 0,                 0,    0.009518446192,     0.02689182826,      0.3126417358,                 0,       7.942360766,      0.4995941864,    0.005513551958
          0,           0,         510,      -5.218865554,      -5.704592229,      -5.691647733,      -4.567184457,      -8.032682852,      -1.900643821,       0.037108726,      0.2847874148,                 0,                 0,                 0,  -0.0005952427478,     0.02584949395,      0.2860292517,                 0,       7.674405606,      0.5023154954,    0.005792853707
          0,           0,         520,      -5.216326236,      -5.761559012,      -5.730005847,      -4.565102167,      -7.929014556,      -1.950624448,     0.03527884648,      0.2641332109,                 0,                 0,                 0,   -0.008176850612,     0.02483552005,      0.2653189535,                 0,       7.487013815,      0.5036761499,    0.005929660836
          0,           0,         530,      -5.256809143,      -5.816290429,      -5.784892754,      -4.605810148,       -7.89561909,      -2.039758319,     0.03375564979,       0.248254857,                 0,                 0,                 0,    -0.01430532336,     0.02393965855,      0.2493928842,                 0,       7.354468322,      0.5050368044,    0.005962767451
          0,           0,         540,      -5.325176084,       -5.85825647,      -5.891949977,      -4.673478109,      -7.902043303,       -2.09873408,     0.03255028695,        0.23632931,                 0,                 0,                 0,    -0.01895237129,     0.02320550785,      0.2374290807,                 0,       7.260437069,      0.5077581134,    0.005927211943
          0,           0,         550,       -5.43834836,      -5.902317769,      -6.040751215,      -4.785486237,      -7.927804387,      -2.170892649,     0.03169296559,      0.2291678588,                 0,                 0,                 0,    -0.02152726424,     0.02263125954,       0.230239392,                 0,       7.230874564,      0.5091187679,    0.005809731864
          0,           0,         560,      -5.579219835,       -5.94090325,      -6.188145969,      -4.923772086,       -7.99250725,      -2.212524234,      0.0310969106,      0.2265228247,                 0,                 0,                 0,     -0.0223561852,     0.02213997302,      0.2275729104,                 0,       7.284415729,      0.5118400769,    0.005703233697
          0,           0,         570,      -5.846658988,       -6.01280756,      -6.373542373,      -5.189030747,      -8.067703017,      -2.197644643,     0.03079769438,       0.228069307,                 0,                 0,                 0,     -0.0217737424,     0.02178000522,      0.2291063905,                 0,       7.405401983,      0.5132007314,    0.005652667319
          0,           0,         580,      -6.116097897,      -6.056679899,      -6.410015369,      -5.463688869,      -8.144098682,      -2.159625229,       0.030811092,      0.2337158694,                 0,                 0,                 0,    -0.01981683348,     0.02157072468,      0.2347490891,                 0,       7.585445832,      0.5159220404,    0.005361785396
          0,           0,         590,      -5.844287396,      -5.979162049,      -6.293008818,       -5.18543366,      -8.244433088,      -2.124477705,     0.03110586196,      0.2427974796,                 0,                 0,                 0,    -0.01649727763,      0.0215071392,      0.2438352594,                 0,       7.805521672,      0.5172826949,    0.004871295119
          0,           0,         600,      -5.629669145,       -5.86840804,      -6.177462771,      -4.966438232,      -8.318960987,      -2.099365329,     0.03165177064,      0.2546993375,                 0,                 0,                 0,    -0.01197036364,     0.02158328285,      0.2557493871,                 0,       8.046922253,      0.5186433494,     0.00436374462
          0,           0,         610,      -5.536436592,      -5.797569053,      -6.094778572,      -4.871068305,      -8.299012815,      -2.093561565,     0.03241818952,      0.2686855686,                 0,                 0,                 0,   -0.006501975466,     0.02179756956,      0.2697549624,                 0,       8.288111476,      0.5186433494,    0.004001540412
          0,           0,         620,      -5.487372567,      -5.729504827,      -6.060479116,      -4.820103923,      -8.209503968,      -2.110406633,     0.03338321098,      0.2841461131,                 0,                 0,                 0,  -0.0001371239978,     0.02215216599,       0.285241536,                 0,       8.511647163,      0.3825778983,    0.003803703299
          0,           0,         630,      -5.464046715,      -5.722600263,      -6.028213209,      -4.796924269,      -8.111495454,      -2.139051563,     0.03451465293,      0.3004597261,                 0,                 0,                 0,    0.007002520736,     0.02263941337,      0.3015870773,                 0,       8.705280237,      0.3199877908,    0.003738489617
          0,           0,         640,        -5.4525501,      -5.686547652,      -6.022233924,       -4.78444358,      -8.023063958,      -2.184486179,     0.03577017067,      0.3166862076,                 0,                 0,                 0,     0.01452787106,     0.02325407598,      0.3178504478,                 0,       8.853360264,      0.2995779733,     0.00376956432
          0,           0,         650,      -5.466940825,      -5.704332529,      -6.037406015,      -4.799771992,      -7.952925887,       -2.24765386,     0.03708805245,        0.33162248,                 0,                 0,                 0,      0.0218010956,     0.02398193252,      0.3328270719,                 0,       8.941490806,      0.2982173188,    0.003921154717
          0,           0,         660,      -5.528094158,      -5.748026404,      -6.107117904,       -4.85956505,      -7.901757309,      -2.356218964,     0.03831688862,      0.3431142971,                 0,                 0,                 0,     0.02758688621,     0.02475664209,      0.3443584085,                 0,       8.954649228,      0.3159058275,    0.004145058365
          0,           0,         670,      -5.624266941,      -5.824209332,       -6.24291018,      -4.955685821,      -7.890711274,      -2.415636027,     0.03928142884,      0.3489666529,                 0,                 0,                 0,     0.03059465112,     0.02548964902,      0.3502442481,                 0,       8.883756605,      0.3376762997,    0.004243345687
          0,           0,         680,      -5.847391909,      -5.921209967,       -6.36017601,      -5.177092592,      -7.900496521,      -2.312787803,     0.03984244605,       0.347827635,                 0,                 0,                 0,     0.03009082379,     0.02609514612,      0.3491282394,                 0,       8.730077331,      0.3648893899,    0.004057715085
