"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          35,      -3.844604531,      -3.842607227,      -3.892914151,      -3.115381013,      -10.43083091,     0.05692327589,      -0.134794755,                 0,                 0,                 0,     0.08594416961,     0.05218433066,     -0.1366992354,                 0,       -2.36800769,   0.0009975671091
          36,      -3.863087817,      -3.809173251,      -3.909781199,      -3.127162382,      -10.38266103,     0.04971270315,     -0.1266283811,                 0,                 0,                 0,     0.08893532624,     0.04526315275,     -0.1282861908,                 0,      -2.547203694,   0.0009975671091
          37,      -3.873573179,       -3.73715273,      -3.914732724,      -3.119733843,      -10.45731849,     0.04474861619,     -0.1204771641,                 0,                 0,                 0,     0.09108364423,     0.04051676415,     -0.1219654769,                 0,      -2.692310385,   0.0009975671091
          38,      -3.911735247,      -3.716008049,      -3.950577722,       -3.15117394,      -10.40046041,     0.03702381888,     -0.1094901855,                 0,                 0,                 0,      0.0945906752,      0.0331801126,     -0.1107155997,                 0,      -2.957290437,   0.0009975671091
          39,      -3.946562886,      -3.680228115,      -3.982768155,      -3.172281857,      -10.45159495,     0.03178073842,     -0.1018099833,                 0,                 0,                 0,     0.09686510728,     0.02820826128,     -0.1028570952,                 0,      -3.203512202,   0.0009975671091
          40,      -3.995082423,      -3.685165551,      -4.031059732,      -3.220250429,      -10.44238669,     0.02645287535,    -0.09378553811,                 0,                 0,                 0,      0.0990017491,      0.0231636929,    -0.09465159853,                 0,      -3.545381621,   0.0009975671091
          41,      -4.038067148,      -3.698755729,      -4.077457065,      -3.268073308,       -10.4832042,     0.02281173446,    -0.08837178146,                 0,                 0,                 0,      0.1003122649,     0.01971370747,    -0.08911406581,                 0,      -3.873961518,   0.0009975671091
          42,      -4.077702779,      -3.726039533,       -4.12320086,       -3.31928195,      -10.44567416,     0.01717589742,    -0.07975368791,                 0,                 0,                 0,      0.1020423199,     0.01438207076,    -0.08030453429,                 0,      -4.643349106,   0.0009975671091
          43,      -4.095711785,      -3.750343179,      -4.143826428,      -3.346161297,      -10.51201622,     0.01345236684,    -0.07419070281,                 0,                 0,                 0,      0.1029714728,     0.01085495384,    -0.07461498867,                 0,      -5.515066879,    0.001452027678
          44,      -4.116147734,      -3.784772385,      -4.163345532,      -3.375698611,      -10.49466684,    0.007968882657,    -0.06582918326,                 0,                 0,                 0,      0.1038925232,    0.005666622865,    -0.06606719189,                 0,      -8.260779596,    0.001452027678
          45,      -4.113273433,      -3.821510185,      -4.150566837,      -3.376593406,      -10.58257219,     0.00448768617,    -0.06065519152,                 0,                 0,                 0,      0.1042094122,    0.002368116736,    -0.06077486001,                 0,      -13.51591649,    0.001452027678
          46,      -4.126867364,      -3.863174549,      -4.155289982,       -3.39252918,      -10.58370647,  -0.0002109632903,    -0.05389867517,                 0,                 0,                 0,      0.1038883705,   -0.002091871414,    -0.05385847904,                 0,       255.4884079,    0.001452027678
          47,      -4.124914208,       -3.90275819,      -4.142077147,      -3.384573802,       -10.6798508,    -0.00313912333,    -0.04923629984,                 0,                 0,                 0,      0.1035894879,   -0.004855533145,    -0.04909675259,                 0,       15.68472935,    0.001452027678
