Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
908,0.667237,0,1.84864,-777.113,1.21266e-07,0,0,0,0,0,0,0.19818,-0.0572676,0,0.206288,0.739455,-0.498352,0.00434564,-0.000256377,0,0.0043532,1.12098,1.57131
909,0.666332,0,1.84608,-776.102,1.21263e-07,0,0,0,0,0,0,0.199537,-0.057347,0,0.207615,0.738431,-0.500399,0.00434241,-0.000251757,0,0.0043497,1.12095,1.56965
910,0.665429,0,1.84353,-775.035,1.21261e-07,0,0,0,0,0,0,0.200895,-0.057425,0,0.208941,0.737411,-0.50244,0.00433903,-0.000247182,0,0.00434606,1.12092,1.56796
911,0.66454,0,1.84102,-773.755,1.21258e-07,0,0,0,0,0,0,0.202252,-0.0575016,0,0.210268,0.736406,-0.504449,0.00433531,-0.000242643,0,0.0043421,1.12089,1.56623
912,0.663678,0,1.83858,-772.396,1.21256e-07,0,0,0,0,0,0,0.20361,-0.057577,0,0.211594,0.735432,-0.506397,0.00433153,-0.000238155,0,0.00433807,1.12086,1.56451
913,0.66283,0,1.83618,-771.167,1.21253e-07,0,0,0,0,0,0,0.204968,-0.0576509,0,0.212921,0.734474,-0.508314,0.00432793,-0.000233732,0,0.00433424,1.12083,1.56286
914,0.661977,0,1.83377,-770.19,1.21251e-07,0,0,0,0,0,0,0.206325,-0.0577236,0,0.214248,0.73351,-0.510242,0.00432475,-0.000229381,0,0.00433083,1.1208,1.56126
915,0.661109,0,1.83132,-769.46,1.21249e-07,0,0,0,0,0,0,0.207683,-0.057795,0,0.215575,0.732528,-0.512206,0.00432217,-0.0002251,0,0.00432802,1.12077,1.55977
916,0.660234,0,1.82885,-768.773,1.21246e-07,0,0,0,0,0,0,0.209041,-0.057865,0,0.216902,0.731538,-0.514185,0.0043197,-0.000220851,0,0.00432535,1.12074,1.55828
917,0.659353,0,1.82635,-768.114,1.21243e-07,0,0,0,0,0,0,0.210399,-0.0579338,0,0.218229,0.730542,-0.516178,0.00431735,-0.000216633,0,0.00432278,1.12071,1.55682
918,0.658472,0,1.82386,-767.402,1.21241e-07,0,0,0,0,0,0,0.211757,-0.0580013,0,0.219557,0.729544,-0.518173,0.00431491,-0.000212434,0,0.00432013,1.12068,1.55533
919,0.657593,0,1.82137,-766.689,1.21238e-07,0,0,0,0,0,0,0.213115,-0.0580675,0,0.220884,0.72855,-0.520162,0.00431246,-0.000208261,0,0.00431749,1.12064,1.55385
920,0.656715,0,1.81889,-766.004,1.21236e-07,0,0,0,0,0,0,0.214473,-0.0581325,0,0.222212,0.727556,-0.52215,0.00431004,-0.000204113,0,0.00431487,1.12061,1.55238
921,0.655836,0,1.8164,-765.32,1.21233e-07,0,0,0,0,0,0,0.215831,-0.0581962,0,0.22354,0.726561,-0.524139,0.0043076,-0.000199989,0,0.00431224,1.12058,1.5509
922,0.654961,0,1.81393,-764.596,1.2123e-07,0,0,0,0,0,0,0.21719,-0.0582586,0,0.224868,0.725571,-0.52612,0.00430506,-0.000195884,0,0.00430952,1.12055,1.54941
923,0.654093,0,1.81147,-763.799,1.21228e-07,0,0,0,0,0,0,0.218548,-0.0583198,0,0.226196,0.724589,-0.528084,0.00430234,-0.000191797,0,0.00430662,1.12052,1.54789
924,0.653237,0,1.80905,-762.856,1.21225e-07,0,0,0,0,0,0,0.219906,-0.0583797,0,0.227524,0.72362,-0.530021,0.00429931,-0.000187726,0,0.00430341,1.12048,1.54634
925,0.652401,0,1.80669,-761.728,1.21223e-07,0,0,0,0,0,0,0.221265,-0.0584384,0,0.228852,0.722675,-0.531912,0.00429594,-0.000183676,0,0.00429986,1.12046,1.54474
926,0.651589,0,1.80439,-760.468,1.2122e-07,0,0,0,0,0,0,0.222623,-0.0584959,0,0.23018,0.721757,-0.533747,0.00429235,-0.000179657,0,0.0042961,1.12043,1.54313
927,0.650799,0,1.80216,-759.271,1.21218e-07,0,0,0,0,0,0,0.223982,-0.0585521,0,0.231509,0.720864,-0.535533,0.00428887,-0.000175681,0,0.00429246,1.1204,1.54157
928,0.650011,0,1.79994,-758.231,1.21216e-07,0,0,0,0,0,0,0.22534,-0.0586072,0,0.232837,0.719974,-0.537313,0.00428559,-0.000171753,0,0.00428903,1.12037,1.54005
929,0.649215,0,1.79769,-757.486,1.21214e-07,0,0,0,0,0,0,0.226699,-0.058661,0,0.234166,0.719074,-0.539113,0.00428285,-0.000167885,0,0.00428614,1.12034,1.53862
930,0.648401,0,1.79538,-757.01,1.21211e-07,0,0,0,0,0,0,0.228058,-0.0587137,0,0.235494,0.718153,-0.540955,0.00428069,-0.000164078,0,0.00428384,1.12031,1.53727
931,0.647577,0,1.79305,-756.441,1.21209e-07,0,0,0,0,0,0,0.229417,-0.0587652,0,0.236823,0.717221,-0.542819,0.00427838,-0.0001603,0,0.00428138,1.12028,1.53588
932,0.646764,0,1.79076,-755.461,1.21206e-07,0,0,0,0,0,0,0.230775,-0.0588155,0,0.238152,0.716303,-0.544656,0.00427528,-0.000156531,0,0.00427814,1.12025,1.53437
933,0.645985,0,1.78856,-754.193,1.21204e-07,0,0,0,0,0,0,0.232134,-0.0588647,0,0.239481,0.715423,-0.546416,0.0042717,-0.000152783,0,0.00427443,1.12023,1.53281
934,0.645236,0,1.78644,-752.914,1.21202e-07,0,0,0,0,0,0,0.233493,-0.0589127,0,0.24081,0.714577,-0.548108,0.00426808,-0.000149067,0,0.00427068,1.1202,1.53127
935,0.644498,0,1.78436,-751.766,1.212e-07,0,0,0,0,0,0,0.234852,-0.0589596,0,0.24214,0.713743,-0.549775,0.00426462,-0.00014539,0,0.0042671,1.12018,1.52978
936,0.643762,0,1.78228,-750.732,1.21198e-07,0,0,0,0,0,0,0.236211,-0.0590054,0,0.243469,0.712911,-0.551439,0.00426134,-0.000141749,0,0.0042637,1.12015,1.52833
937,0.643025,0,1.7802,-749.776,1.21196e-07,0,0,0,0,0,0,0.23757,-0.05905,0,0.244798,0.71208,-0.553102,0.00425821,-0.000138143,0,0.00426045,1.12012,1.52689
938,0.642286,0,1.77811,-748.887,1.21194e-07,0,0,0,0,0,0,0.238929,-0.0590935,0,0.246128,0.711244,-0.554772,0.00425526,-0.000134573,0,0.00425739,1.1201,1.5255
939,0.641545,0,1.77602,-748.097,1.21191e-07,0,0,0,0,0,0,0.240288,-0.059136,0,0.247458,0.710407,-0.556447,0.00425248,-0.000131039,0,0.0042545,1.12007,1.52413
940,0.640792,0,1.77389,-747.57,1.21189e-07,0,0,0,0,0,0,0.241647,-0.0591773,0,0.248787,0.709556,-0.55815,0.00425024,-0.00012755,0,0.00425215,1.12004,1.52284
941,0.640022,0,1.77171,-747.181,1.21187e-07,0,0,0,0,0,0,0.243006,-0.0592175,0,0.250117,0.708685,-0.559892,0.00424834,-0.000124099,0,0.00425016,1.12002,1.5216
