Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,0.82473,0.0228681,0,-0.0197243
0,0,0,0.82338,0.0230258,0,-0.020988
0,0,0,0.822029,0.0231833,0,-0.0223059
0,0,0,0.820679,0.0233405,0,-0.02363
0,0,0,0.819328,0.0234975,0,-0.0249044
0,0,0,0.817977,0.0236542,0,-0.0262076
0,0,0,0.816627,0.0238107,0,-0.0275561
0,0,0,0.815276,0.0239669,0,-0.0288152
0,0,0,0.813925,0.0241229,0,-0.0300968
0,0,0,0.812575,0.0242786,0,-0.0314428
0,0,0,0.811224,0.0244341,0,-0.0326841
0,0,0,0.809873,0.0245893,0,-0.0339878
0,0,0,0.808522,0.0247443,0,-0.0352435
0,0,0,0.807171,0.024899,0,-0.0365076
0,0,0,0.80582,0.0250534,0,-0.037773
0,0,0,0.80447,0.0252075,0,-0.0390214
0,0,0,0.803119,0.0253614,0,-0.0402617
0,0,0,0.801768,0.025515,0,-0.0414956
0,0,0,0.800417,0.0256684,0,-0.0427729
0,0,0,0.799065,0.0258215,0,-0.043939
0,0,0,0.797714,0.0259743,0,-0.0452373
0,0,0,0.796363,0.0261268,0,-0.0464575
0,0,0,0.795012,0.0262791,0,-0.0476088
0,0,0,0.793661,0.0264311,0,-0.0489015
0,0,0,0.79231,0.0265828,0,-0.0500293
0,0,0,0.790959,0.0267343,0,-0.0513173
0,0,0,0.789607,0.0268855,0,-0.0524772
0,0,0,0.788256,0.0270364,0,-0.053654
0,0,0,0.786905,0.0271871,0,-0.0548588
0,0,0,0.785553,0.0273375,0,-0.0559898
0,0,0,0.784202,0.0274877,0,-0.0572003
0,0,0,0.782851,0.0276377,0,-0.0584022
0,0,0,0.781499,0.0277874,0,-0.0595497
0,0,0,0.780148,0.0279369,0,-0.0607811
0,0,0,0.778796,0.0280862,0,-0.0619473
0,0,0,0.777445,0.0282352,0,-0.0631102
0,0,0,0.776093,0.028384,0,-0.0643167
0,0,0,0.774742,0.0285325,0,-0.0654712
