"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          67,      -5.487838703,       -5.49278825,      -5.653869751,      -4.759672467,       -8.06718779,     -0.3921784159,     0.01598233771,      0.7244762666,                 0,                 0,                 0,     0.09796945447,    -0.01323152381,      0.7245317265,                 0,       45.32980592,    0.004680718177
          68,      -5.501167763,      -5.496181672,      -5.656049446,      -4.772209404,      -8.058573547,     -0.3918442438,     0.01549087143,      0.7264039439,                 0,                 0,                 0,     0.09857805207,    -0.01380028803,      0.7264380283,                 0,       46.89238739,    0.004680718177
          69,      -5.515003495,      -5.493565259,      -5.658437316,      -4.784959884,       -8.05112223,     -0.3933129775,     0.01507509987,        0.72844864,                 0,                 0,                 0,     0.09910853811,    -0.01429813562,      0.7284643046,                 0,       48.32131438,    0.004680718177
          70,      -5.529383182,      -5.487037349,      -5.662349032,      -4.798142957,      -8.044829725,     -0.4008142495,     0.01474827816,      0.7305781488,                 0,                 0,                 0,     0.09954997203,    -0.01471052412,      0.7305789099,                 0,        49.5365046,    0.004680718177
          71,      -5.543791709,      -5.479619234,      -5.668936781,      -4.811524466,      -8.039668508,     -0.4092556251,     0.01451691643,      0.7327522301,                 0,                 0,                 0,     0.09989484895,    -0.01502932676,      0.7327418992,                 0,       50.47574901,    0.004680718177
          72,      -5.557393751,      -5.474261531,      -5.678276653,      -4.824571557,      -8.035583617,     -0.4213050978,     0.01438230782,      0.7349216241,                 0,                 0,                 0,      0.1001380545,    -0.01525126598,      0.7349041048,                 0,       51.09900535,    0.004680718177
          73,      -5.569522372,      -5.473107113,       -5.68932238,      -4.836766514,      -8.032350925,     -0.4360075562,     0.01434220249,      0.7370388043,                 0,                 0,                 0,      0.1002781903,    -0.01537667417,       0.737017948,                 0,       51.38951321,    0.004680718177
          74,      -5.579744637,      -5.477452923,      -5.700506654,      -4.847602581,      -8.029660262,     -0.4505543334,      0.0143917752,      0.7390681612,                 0,                 0,                 0,       0.100319947,    -0.01540893738,      0.7390476539,                 0,       51.35350926,    0.004680718177
          75,      -5.587947805,       -5.48793306,      -5.710677288,      -4.856760816,      -8.027348725,     -0.4675945856,     0.01452347712,      0.7409852325,                 0,                 0,                 0,      0.1002746982,    -0.01535461231,      0.7409684758,                 0,       51.01982302,    0.004680718177
          76,      -5.594183142,       -5.50455872,      -5.719311313,      -4.864092861,       -8.02528319,     -0.4824180186,     0.01472556518,      0.7427728468,                 0,                 0,                 0,      0.1001605808,    -0.01522474039,      0.7427627828,                 0,       50.44104167,    0.004680718177
          77,      -5.598296898,      -5.526652627,      -5.726579153,      -4.869291007,       -8.02334032,     -0.4965246025,     0.01498159118,      0.7444164298,                 0,                 0,                 0,      0.1000006018,      -0.015035169,      0.7444153496,                 0,       49.68874272,    0.004680718177
          78,      -5.600195814,      -5.552711666,      -5.733322038,      -4.872106012,      -8.021391689,     -0.5096770742,     0.01527145345,      0.7459042585,                 0,                 0,                 0,     0.09981966666,    -0.01480551098,      0.7459136525,                 0,       48.84304308,    0.004680718177
          79,       -5.60014176,      -5.580527059,      -5.740609354,      -4.872640256,      -8.019182353,     -0.5234290712,     0.01557315544,      0.7472328836,                 0,                 0,                 0,     0.09964313948,    -0.01455760597,      0.7472533584,                 0,       47.98211169,    0.004680718177
          80,      -5.598593324,      -5.607982153,      -5.749381743,      -4.871295974,      -8.016524216,      -0.536408004,     0.01586539526,      0.7484103724,                 0,                 0,                 0,     0.09949433363,    -0.01431306371,      0.7484416694,                 0,       47.17250093,    0.004680718177
          81,      -5.595682032,      -5.633822076,      -5.760387108,      -4.868263961,      -8.013355588,     -0.5499507537,      0.0161294147,      0.7494550971,                 0,                 0,                 0,     0.09939264388,    -0.01409136768,      0.7494961867,                 0,       46.46511427,    0.004680718177
          82,      -5.590360866,      -5.655911775,      -5.774328571,      -4.862523476,      -8.009695738,      -0.561858725,     0.01634960908,       0.750393049,                 0,                 0,                 0,     0.09935270549,     -0.0139091575,      0.7504422516,                 0,        45.8966967,    0.004680718177
          83,      -5.583049449,       -5.67024956,      -5.790782011,      -4.854586492,      -8.005619347,     -0.5728006495,     0.01651455642,      0.7512539547,                 0,                 0,                 0,     0.09938341781,    -0.01377904402,      0.7513091062,                 0,       45.49041074,    0.004680718177
          84,      -5.574013232,      -5.673915039,      -5.808828283,      -4.844677222,      -8.001073761,     -0.5837548203,     0.01661791744,      0.7520696759,                 0,                 0,                 0,     0.09948843451,     -0.0137086456,      0.7521283306,                 0,       45.25655387,    0.004680718177
          85,      -5.568248793,       -5.67313875,      -5.825650262,       -4.83771801,      -7.995807796,     -0.5969660526,     0.01665826572,      0.7528725393,                 0,                 0,                 0,     0.09966735184,    -0.01370069048,      0.7529321678,                 0,       45.19513328,    0.004680718177
          86,      -5.567934268,      -5.676722169,      -5.837566036,      -4.836163264,      -7.989856265,      -0.610741309,     0.01663794381,       0.753696123,                 0,                 0,                 0,     0.09991747812,    -0.01375419139,      0.7537542631,                 0,       45.29983583,    0.004680718177
