Eddy_Viscosity,Mach,Nu_Tilde,Pressure_Coefficient
0,0,0,-0.211375
0,0,0,-0.204197
0,0,0,-0.196986
0,0,0,-0.189758
0,0,0,-0.182519
0,0,0,-0.175265
0,0,0,-0.167993
0,0,0,-0.160705
0,0,0,-0.153405
0,0,0,-0.146096
0,0,0,-0.138781
0,0,0,-0.131461
0,0,0,-0.124144
0,0,0,-0.116828
0,0,0,-0.109526
0,0,0,-0.102234
0,0,0,-0.0949646
0,0,0,-0.0877018
0,0,0,-0.0804514
0,0,0,-0.0732101
0,0,0,-0.0659828
0,0,0,-0.0587652
0,0,0,-0.0515629
0,0,0,-0.0443686
0,0,0,-0.0371889
0,0,0,-0.0300176
0,0,0,-0.0228626
0,0,0,-0.0157157
0,0,0,-0.00858389
0,0,0,-0.00145749
0,0,0,0.00565465
0,0,0,0.0127632
0,0,0,0.0198552
0,0,0,0.0269356
0,0,0,0.0339898
0,0,0,0.0410257
0,0,0,0.0480285
0,0,0,0.055008
0,0,0,0.061952
0,0,0,0.0688693
0,0,0,0.0757495
0,0,0,0.0825975
0,0,0,0.0894061
0,0,0,0.0961724
0,0,0,0.102899
0,0,0,0.109574
0,0,0,0.116202
0,0,0,0.122764
0,0,0,0.129263
0,0,0,0.135682
0,0,0,0.142024
0,0,0,0.148271
0,0,0,0.154424
0,0,0,0.160466
0,0,0,0.166419
0,0,0,0.172279
0,0,0,0.178066
0,0,0,0.18377
0,0,0,0.189412
0,0,0,0.194984
0,0,0,0.200508
0,0,0,0.20596
0,0,0,0.211346
0,0,0,0.216645
0,0,0,0.221868
0,0,0,0.226984
0,0,0,0.232008
0,0,0,0.236903
0,0,0,0.24167
0,0,0,0.246274
0,0,0,0.250726
0,0,0,0.254992
0,0,0,0.259082
0,0,0,0.262915
0,0,0,0.266466
0,0,0,0.269677
0,0,0,0.27254
0,0,0,0.274985
0,0,0,0.276944
0,0,0,0.278316
0,0,0,0.279099
0,0,0,0.279084
0,0,0,0.27823
0,0,0,0.27599
0,0,0,0.272372
0,0,0,0.266286
0,0,0,0.258163
0,0,0,0.244333
0,0,0,0.237552
3.02325e-08,0.599993,3.56873e-07,-0.000181964
2.81899e-08,0.59999,3.50271e-07,-5.80014e-05
2.54387e-08,0.599983,3.4084e-07,9.30729e-05
2.38087e-08,0.599967,3.3492e-07,0.00016173
2.34597e-08,0.599954,3.33616e-07,0.000206592
2.3394e-08,0.599944,3.33366e-07,0.000266859
2.33918e-08,0.599936,3.33355e-07,0.000329753
2.33941e-08,0.599931,3.3336e-07,0.000400513
2.33961e-08,0.599929,3.33364e-07,0.000472307
2.33974e-08,0.599928,3.33366e-07,0.000534859
2.33982e-08,0.599931,3.33367e-07,0.000585878
2.33979e-08,0.599936,3.33365e-07,0.000613244
2.33968e-08,0.599943,3.3336e-07,0.000615771
2.33939e-08,0.599955,3.33351e-07,0.000577912
2.33916e-08,0.599957,3.33346e-07,0.000513089
2.33896e-08,0.599958,3.33341e-07,0.000443676
2.33879e-08,0.599959,3.33338e-07,0.000377142
2.3387e-08,0.59996,3.33338e-07,0.000310494
2.33862e-08,0.599963,3.33337e-07,0.000253621
2.3385e-08,0.599967,3.33335e-07,0.000202745
2.33844e-08,0.599972,3.33335e-07,0.000160226
2.33839e-08,0.599977,3.33335e-07,0.000123259
2.33833e-08,0.599982,3.33334e-07,9.07322e-05
2.3383e-08,0.599988,3.33334e-07,6.11245e-05
2.33825e-08,0.599993,3.33334e-07,3.37543e-05
2.33821e-08,0.599998,3.33333e-07,7.9975e-06
2.33817e-08,0.600004,3.33333e-07,-1.94801e-05
2.33813e-08,0.600009,3.33333e-07,-4.92219e-05
2.33808e-08,0.600015,3.33333e-07,-8.11711e-05
2.33803e-08,0.600021,3.33332e-07,-0.000119693
2.33796e-08,0.600026,3.33332e-07,-0.000163638
2.33789e-08,0.600031,3.33332e-07,-0.00021667
2.33778e-08,0.600035,3.3333e-07,-0.00027669
2.33771e-08,0.600037,3.33331e-07,-0.000347401
2.33767e-08,0.600039,3.33332e-07,-0.000417133
2.33751e-08,0.600043,3.3333e-07,-0.000493317
2.33745e-08,0.600047,3.33331e-07,-0.000558899
